node;pid;tid;core_id;sample_count;
ip-10-0-9-170;9436;9453;3;399;
ip-10-0-9-170;9436;9453;5;436;
ip-10-0-9-170;9436;9453;13;176;
ip-10-0-9-170;9436;9453;15;201;
ip-10-0-9-170;9436;9453;16;40;
ip-10-0-9-170;9436;9467;4;1063;
ip-10-0-9-170;9436;9467;16;173;
ip-10-0-9-170;9436;9466;1;687;
ip-10-0-9-170;9436;9466;4;127;
ip-10-0-9-170;9436;9466;5;293;
ip-10-0-9-170;9436;9466;13;82;
ip-10-0-9-170;9436;9466;15;47;
ip-10-0-9-170;9436;9465;8;1066;
ip-10-0-9-170;9436;9465;9;169;
ip-10-0-9-170;9436;9464;2;870;
ip-10-0-9-170;9436;9464;5;34;
ip-10-0-9-170;9436;9464;8;155;
ip-10-0-9-170;9436;9464;14;173;
ip-10-0-9-170;9436;9463;10;100;
ip-10-0-9-170;9436;9463;12;1066;
ip-10-0-9-170;9436;9463;14;71;
ip-10-0-9-170;9436;9462;8;653;
ip-10-0-9-170;9436;9462;9;580;
ip-10-0-9-170;9436;9461;3;189;
ip-10-0-9-170;9436;9461;6;859;
ip-10-0-9-170;9436;9461;7;188;
ip-10-0-9-170;9436;9458;4;517;
ip-10-0-9-170;9436;9458;6;732;
ip-10-0-9-170;9436;9436;3;105;
ip-10-0-9-170;9436;9436;5;341;
ip-10-0-9-170;9436;9436;8;28;
ip-10-0-9-170;9436;9436;9;403;
ip-10-0-9-170;9436;9436;10;197;
ip-10-0-9-170;9436;9436;11;161;
ip-10-0-9-170;9436;9436;15;20;
ip-10-0-9-170;9436;9460;6;287;
ip-10-0-9-170;9436;9460;7;490;
ip-10-0-9-170;9436;9460;8;168;
ip-10-0-9-170;9436;9460;9;194;
ip-10-0-9-170;9436;9460;15;95;
ip-10-0-9-170;9436;9455;2;806;
ip-10-0-9-170;9436;9455;3;82;
ip-10-0-9-170;9436;9455;15;367;
ip-10-0-9-170;9436;9454;3;170;
ip-10-0-9-170;9436;9454;10;800;
ip-10-0-9-170;9436;9454;15;285;
ip-10-0-9-170;9436;9456;1;301;
ip-10-0-9-170;9436;9456;5;426;
ip-10-0-9-170;9436;9456;7;67;
ip-10-0-9-170;9436;9456;13;263;
ip-10-0-9-170;9436;9456;16;195;
ip-10-0-9-170;9436;9457;3;478;
ip-10-0-9-170;9436;9457;12;656;
ip-10-0-9-170;9436;9457;16;118;
ip-10-0-9-170;9436;9459;3;425;
ip-10-0-9-170;9436;9459;5;110;
ip-10-0-9-170;9436;9459;9;720;
