address;source_location;insn;indent
0x2d15;:0;VMOVAPD	0x1423(%RIP),%XMM6;
0x2d1d;:0;MOV	0x1424(%RIP),%RAX;
0x2d24;:0;MOVQ	$0,%FS:-0x13a0;
0x2d31;:0;MOVB	$0,%FS:-0x1398;
0x2d3a;:0;MOVB	$0x1,%FS:-0x13c0;
0x2d43;:0;LEA	-0x13b0,%R14;
0x2d4b;:0;XOR	%R15D,%R15D;
0x2d4e;:0;VMOVAPD	%XMM6,%FS:-0x13b0;
0x2d58;:0;MOV	%RAX,0x10(%RSP);
0x2d5d;:0;MOV	%RAX,0x18(%RSP);
0x2d62;:0;MOV	%FS:,%RSI;
0x2d6b;:0;LEA	-0x1388(%RSI),%RBP;
0x2d72;:0;NOPW	%CS:(%RAX,%RAX,1);
0x2d7d;:0;NOPL	(%RAX);
0x2d80;:0;MOV	%RBP,%RDI;  (4) 
0x2d83;:0;CALL	34f0 <_ZSt18generate_canonicalIdLm53ESt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEET_RT1_>;  (4) 
0x2d88;:0;VMOVSD	0x1388(%RIP),%XMM2;  (4) 
0x2d90;:0;MOV	%RBP,%RDI;  (4) 
0x2d93;:0;VFMADD231SD	0x1374(%RIP),%XMM0,%XMM2;  (4) 
0x2d9c;:0;VMOVSD	%XMM2,0x8(%RSP);  (4) 
0x2da2;:0;CALL	34f0 <_ZSt18generate_canonicalIdLm53ESt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEET_RT1_>;  (4) 
0x2da7;:0;VMOVSD	0x1369(%RIP),%XMM1;  (4) 
0x2daf;:0;VFMADD231SD	0x1358(%RIP),%XMM0,%XMM1;  (4) 
0x2db8;:0;VMOVSD	0x8(%RSP),%XMM2;  (4) 
0x2dbe;:0;VMULSD	%XMM1,%XMM1,%XMM3;  (4) 
0x2dc2;:0;VFMADD231SD	%XMM2,%XMM2,%XMM3;  (4) 
0x2dc7;:0;VCOMISD	0x10(%RSP),%XMM3;  (4) 
0x2dcd;:0;JA	2d80 <main._omp_fn.0+0x230>;  (4) 
0x2dcf;:0;VXORPD	%XMM0,%XMM0,%XMM0;  (4) 
0x2dd3;:0;VUCOMISD	%XMM0,%XMM3;  (4) 
0x2dd7;:0;JP	2ddb <main._omp_fn.0+0x28b>;  (4) 
0x2dd9;:0;JE	2d80 <main._omp_fn.0+0x230>;  (4) 
0x2ddb;:0;VMOVSD	%XMM3,%XMM3,%XMM0;
0x2ddf;:0;VMOVSD	%XMM1,0x28(%RSP);
0x2de5;:0;VMOVSD	%XMM2,0x10(%RSP);
0x2deb;:0;VMOVSD	%XMM3,0x8(%RSP);
0x2df1;:0;CALL	22d0 <.plt.sec@start+0xa0>;
0x2df6;:0;VMULSD	0x1322(%RIP),%XMM0,%XMM0;
0x2dfe;:0;VMOVSD	0x8(%RSP),%XMM3;
0x2e04;:0;VMOVSD	0x10(%RSP),%XMM2;
0x2e0a;:0;VMOVSD	0x28(%RSP),%XMM1;
0x2e10;:0;VDIVSD	%XMM3,%XMM0,%XMM0;
0x2e14;:0;VXORPD	%XMM3,%XMM3,%XMM3;
0x2e18;:0;VUCOMISD	%XMM0,%XMM3;
0x2e1c;:0;JA	30ee <main._omp_fn.0+0x59e>;
0x2e22;:0;VSQRTSD	%XMM0,%XMM0,%XMM0;
0x2e26;:0;VMULSD	%XMM0,%XMM2,%XMM2;
0x2e2a;:0;VMULSD	%XMM0,%XMM1,%XMM1;
0x2e2e;:0;MOVB	$0x1,%FS:0x18(%R14);
0x2e34;:0;VMOVSD	%XMM2,%FS:0x10(%R14);
0x2e3b;:0;JMP	2cd3 <main._omp_fn.0+0x183>;
0x303b;:0;VMOVSD	0x1105(%RIP),%XMM6;
0x3043;:0;VMOVSD	%XMM6,0x10(%RSP);
0x3049;:0;JMP	2d62 <main._omp_fn.0+0x212>;
