node;pid;tid;core_id;sample_count;
jf;440409;440440;1;8;
jf;440409;440440;3;128;
jf;440409;440440;5;23;
jf;440409;440440;11;1296;
jf;440409;440440;12;5;
jf;440409;440440;14;12;
jf;440409;440440;15;193;
jf;440409;440440;16;287;
jf;440409;440426;1;686;
jf;440409;440426;2;789;
jf;440409;440426;7;433;
jf;440409;440426;8;6;
jf;440409;440428;3;1;
jf;440409;440428;7;26;
jf;440409;440428;9;4;
jf;440409;440428;11;399;
jf;440409;440428;12;37;
jf;440409;440428;15;1475;
jf;440409;440428;16;1;
jf;440409;440432;3;1454;
jf;440409;440432;4;162;
jf;440409;440432;13;364;
jf;440409;440436;10;97;
jf;440409;440436;11;94;
jf;440409;440436;12;1779;
jf;440409;440409;7;2;
jf;440409;440409;8;1921;
jf;440409;440409;11;51;
jf;440409;440433;4;1882;
jf;440409;440438;1;482;
jf;440409;440438;7;1466;
jf;440409;440437;2;35;
jf;440409;440437;3;385;
jf;440409;440437;14;1574;
jf;440409;440434;1;673;
jf;440409;440434;2;1213;
jf;440409;440429;15;275;
jf;440409;440429;16;1690;
jf;440409;440431;9;635;
jf;440409;440431;10;1235;
jf;440409;440431;11;4;
jf;440409;440431;12;51;
jf;440409;440435;5;718;
jf;440409;440435;6;1169;
jf;440409;440439;7;54;
jf;440409;440439;12;36;
jf;440409;440439;13;1509;
jf;440409;440439;14;381;
jf;440409;440427;9;1251;
jf;440409;440427;10;667;
jf;440409;440430;5;1112;
jf;440409;440430;6;797;
