address;source_location;insn;indent
0x401b20;:0;ADRP	X23, <402b20>;
0x401b24;:0;MOVZ	X20, #0;
0x401b28;:0;ADD	X23, X23, #752;
0x401b2c;:0;B	401b64 <main._omp_fn.0+0xdc>;
0x401b30;:0;ADD	X1, X0, #16;
0x401b34;:0;LDR	D12, [X0, #16];
0x401b38;:0;LDRB	W0, [X1, #24];
0x401b3c;:0;LDR	D11, [X1, #8];
0x401b40;:0;TBZ	W0, #0, 401ba4 <main._omp_fn.0+0x11c>;
0x401b44;:0;STRB	WZR, [X1, #24];
0x401b48;:0;LDR	D0, [X1, #16];
0x401b4c;:0;FMADD	D0, D0, D11, D12;
0x401b50;:0;FCMPE	D13, D0;
0x401b54;:0;B.MI	401c4c <main._omp_fn.0+0x1c4>;
0x401b58;:0;ADD	X20, X20, #1;
0x401b5c;:0;CMP	X21, X20;
0x401b60;:0;B.EQ	401c78 <main._omp_fn.0+0x1f0>;
0x401b64;:0;ADD	X0, X19, #0;
0x401b68;:0;ADD	X0, X0, #16;
0x401b6c;:0;LDR	X0, [X0];
0x401b70;:0;TBZ	W0, #0, 401ce4 <main._omp_fn.0+0x25c>;
0x401b74;:0;ADD	X0, X19, #0;
0x401b78;:0;ADD	X0, X0, #16;
0x401b7c;:0;LDR	X1, [X0, #8];
0x401b80;:0;TBNZ	W1, #0, 401b30 <main._omp_fn.0+0xa8>;
0x401b84;:0;FMOV	D0, #1.0000000;
0x401b88;:0;MOVI	D12, #0;
0x401b8c;:0;MOVZ	X2, #1;
0x401b90;:0;STRB	WZR, [X0, #40];
0x401b94;:0;STR	X2, [X0, #8];
0x401b98;:0;FMOV	D11, D0;
0x401b9c;:0;STP	D12, D0, [X0, #16];
0x401ba0;:0;STR	D12, [X0, #32];
0x401ba4;:0;FMOV	D9, #2.0000000;
0x401ba8;:0;FMOV	D8, #-1.0000000;
0x401bac;:0;ADD	X27, X19, #0;
0x401bb0;:0;ADD	X27, X27, #64;
0x401bb4;:0;FMOV	D10, #1.0000000;
0x401bb8;:0;HINT	#0;
0x401bbc;:0;HINT	#0;
0x401bc0;:0;ORR	X0, XZR, X27;  (6) 
0x401bc4;:0;BL	402040 <_ZSt18generate_canonicalIdLm53ESt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEET_RT1_>;  (6) 
0x401bc8;:0;FMADD	D14, D0, D9, D8;  (6) 
0x401bcc;:0;ORR	X0, XZR, X27;  (6) 
0x401bd0;:0;BL	402040 <_ZSt18generate_canonicalIdLm53ESt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEET_RT1_>;  (6) 
0x401bd4;:0;FMADD	D15, D0, D9, D8;  (6) 
0x401bd8;:0;FMUL	D3, D15, D15;  (6) 
0x401bdc;:0;FMADD	D3, D14, D14, D3;  (6) 
0x401be0;:0;FCMPE	D3, D10;  (6) 
0x401be4;:0;B.GT	401bc0 <main._omp_fn.0+0x138>;  (6) 
0x401be8;:0;FCMP	D3, #0;  (6) 
0x401bec;:0;B.EQ	401bc0 <main._omp_fn.0+0x138>;  (6) 
0x401bf0;:0;FMOV	D0, D3;
0x401bf4;:0;STR	D3, [SP, #168];
0x401bf8;:0;BL	401440 <@plt_start@+0x200>;
0x401bfc;:0;FMOV	D4, #-2.0000000;
0x401c00;:0;LDR	D3, [SP, #168];
0x401c04;:0;FMUL	D0, D0, D4;
0x401c08;:0;FDIV	D0, D0, D3;
0x401c0c;:0;FCMP	D0, #0;
0x401c10;:0;B.PL	401c28 <main._omp_fn.0+0x1a0>;
0x401c14;:0;BL	401400 <@plt_start@+0x1c0>;
0x401c18;:0;B	401c2c <main._omp_fn.0+0x1a4>;
0x401c28;:0;FSQRT	D0, D0;
0x401c2c;:0;FMUL	D2, D14, D0;
0x401c30;:0;ADD	X0, X19, #0;
0x401c34;:0;ADD	X0, X0, #16;
0x401c38;:0;MOVZ	W1, #1;
0x401c3c;:0;FMUL	D0, D15, D0;
0x401c40;:0;STRB	W1, [X0, #40];
0x401c44;:0;STR	D2, [X0, #32];
0x401c48;:0;B	401b4c <main._omp_fn.0+0xc4>;
0x401c4c;:0;LDR	D1, [SP, #200];
0x401c50;:0;ADD	X20, X20, #1;
0x401c54;:0;FMUL	D0, D1, D0;
0x401c58;:0;BL	4013e0 <@plt_start@+0x1a0>;
0x401c5c;:0;LDP	D1, D2, [SP, #184];
0x401c60;:0;FMADD	D0, D2, D0, D1;
0x401c64;:0;LDR	D1, [SP, #176];
0x401c68;:0;FADD	D0, D1, D0;
0x401c6c;:0;STR	D0, [SP, #176];
0x401c70;:0;CMP	X21, X20;
0x401c74;:0;B.NE	401b64 <main._omp_fn.0+0xdc>;
0x401c78;:0;ADD	X24, X24, #1;
0x401c7c;:0;CMP	X26, X24;
0x401c80;:0;B.HI	401b20 <main._omp_fn.0+0x98>;
