address;source_location;insn;indent
0x2d20;:0;CMPB	$0,%FS:-0x1390;  (4) 
0x2d29;:0;JE	2f8d <main._omp_fn.0+0x3ad>;  (4) 
0x2d2f;:0;CMPB	$0,0x3582(%RIP);  (4) 
0x2d36;:0;MOV	0x3563(%RIP),%R15;  (4) 
0x2d3d;:0;MOV	0x3564(%RIP),%R14;  (4) 
0x2d44;:0;JNE	2f50 <main._omp_fn.0+0x370>;  (4) 
0x2d4a;:0;MOV	%FS:,%RSI;
0x2d53;:0;LEA	-0x1388(%RSI),%RBP;
0x2d5a;:0;NOPW	(%RAX,%RAX,1);
0x2d60;:0;MOV	%RBP,%RDI;  (5) 
0x2d63;:0;CALL	34f0 <_ZSt18generate_canonicalIdLm53ESt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEET_RT1_>;  (5) 
0x2d68;:0;VMOVSD	0x13a0(%RIP),%XMM2;  (5) 
0x2d70;:0;MOV	%RBP,%RDI;  (5) 
0x2d73;:0;VFMADD213SD	0x139c(%RIP),%XMM0,%XMM2;  (5) 
0x2d7c;:0;VMOVSD	%XMM2,(%RSP);  (5) 
0x2d81;:0;CALL	34f0 <_ZSt18generate_canonicalIdLm53ESt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEET_RT1_>;  (5) 
0x2d86;:0;VMOVSD	0x1382(%RIP),%XMM1;  (5) 
0x2d8e;:0;VFMADD213SD	0x1381(%RIP),%XMM0,%XMM1;  (5) 
0x2d97;:0;VMOVSD	(%RSP),%XMM2;  (5) 
0x2d9c;:0;VMULSD	%XMM1,%XMM1,%XMM3;  (5) 
0x2da0;:0;VFMADD231SD	%XMM2,%XMM2,%XMM3;  (5) 
0x2da5;:0;VCOMISD	0x138b(%RIP),%XMM3;  (5) 
0x2dad;:0;JA	2d60 <main._omp_fn.0+0x180>;  (5) 
0x2daf;:0;VXORPD	%XMM0,%XMM0,%XMM0;  (5) 
0x2db3;:0;VUCOMISD	%XMM0,%XMM3;  (5) 
