address;source_location;insn;indent
0x401a88;:0;SUB	SP, SP, #2416;
0x401a8c;:0;SUB	SP, SP, #19;
0x401a90;:0;STP	X29, X30, [SP];
0x401a94;:0;ADD	X29, SP, #0;
0x401a98;:0;STP	D12, D13, [SP, #128];
0x401a9c;:0;LDP	D0, D13, [X0, #16];
0x401aa0;:0;STP	X19, X20, [SP, #16];
0x401aa4;:0;STP	X21, X22, [SP, #32];
0x401aa8;:0;STR	D0, [SP, #200];
0x401aac;:0;LDR	D0, [X0, #32];
0x401ab0;:0;LDP	X21, X20, [X0];
0x401ab4;:0;STP	X25, X26, [SP, #64];
0x401ab8;:0;ORR	X25, XZR, X0;
0x401abc;:0;STR	D0, [SP, #192];
0x401ac0;:0;LDR	D0, [X0, #40];
0x401ac4;:0;STR	D0, [SP, #184];
0x401ac8;:0;CBZ	X20, 401c20 <main._omp_fn.0+0x198>;
0x401acc;:0;STP	X23, X24, [SP, #48];
0x401ad0;:0;BL	401300 <@plt_start@+0xc0>;
0x401ad4;:0;SBFM	X19, X0, #0, #31;
0x401ad8;:0;BL	401310 <@plt_start@+0xd0>;
0x401adc;:0;UDIV	X26, X20, X19;
0x401ae0;:0;SBFM	X24, X0, #0, #31;
0x401ae4;:0;MSUB	X0, X26, X19, X20;
0x401ae8;:0;CMP	X24, X0;
0x401aec;:0;B.CC	401d7c <main._omp_fn.0+0x2f4>;
0x401af0;:0;MADD	X24, X26, X24, X0;
0x401af4;:0;ADD	X26, X26, X24;
0x401af8;:0;CMP	X24, X26;
0x401afc;:0;B.CS	401c1c <main._omp_fn.0+0x194>;
0x401b00;:0;STR	XZR, [SP, #176];
0x401b04;:0;MRS	X19, #24194;
0x401b08;:0;CBZ	X21, 401c1c <main._omp_fn.0+0x194>;
0x401b0c;:0;ADD	X22, SP, #224;
0x401b10;:0;STR	X27, [SP, #80];
0x401b14;:0;STP	D8, D9, [SP, #96];
0x401b18;:0;STP	D10, D11, [SP, #112];
0x401b1c;:0;STP	D14, D15, [SP, #144];
0x401b20;:0;ADRP	X23, <402b20>;    (8) 
0x401b24;:0;MOVZ	X20, #0;    (8) 
0x401b28;:0;ADD	X23, X23, #752;    (8) 
0x401b2c;:0;B	401b64 <main._omp_fn.0+0xdc>;    (8) 
0x401b30;:0;ADD	X1, X0, #16;    (8) 
0x401b34;:0;LDR	D12, [X0, #16];    (8) 
0x401b38;:0;LDRB	W0, [X1, #24];    (8) 
