Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;543620;17.015064239502;13.249225051215;35.705631256104;0;1737557214;0;0;837989;0;0;86.750295882343;53935.236350988;0;0;1737557178;0;0;
ip-10-0-9-63;_ALL;_ALL;0;543620;17.015064239502;13.249225051215;35.705631256104;0;1737557214;0;0;837989;0;0;86.750295882343;53935.236350988;0;0;1737557178;0;0;
ip-10-0-9-63;25338;_ALL;0;543620;17.015064239502;13.249225051215;35.705631256104;0;1737557214;0;0;837989;0;0;86.750295882343;53935.236350988;0;0;1737557178;0;0;
ip-10-0-9-63;25338;25358;8.4459705352783;543556;17.015064239502;13.223575017723;35.683204650879;0;1737557214;0;0;860353;0;0;86.775973780445;3403.0129537228;0.63074398040771;0;1737557178;0;0;
ip-10-0-9-63;25338;25338;8.5456008911133;543620;17.000028610229;13.764681264275;35.705631256104;0;1737557214;0;0;837989;0;0;86.235137267091;3400.0059123299;2.6692090034485;0;1737557178;0;0;
ip-10-0-9-63;25338;25368;5.6911773681641;543658;16.735063552856;13.444825196542;35.68297958374;0;1737557214;0;0;860679;0;0;86.554762520327;3347.0130033256;0.72446501255035;0;1737557178;0;0;
ip-10-0-9-63;25338;25359;4.8506693840027;543632;16.970092773438;13.170231757883;35.683246612549;0;1737557214;0;0;860386;0;0;86.829178371549;3394.0186598412;0.8866919875145;0;1737557178;0;0;
ip-10-0-9-63;25338;25357;9.1185960769653;543553;16.980075836182;13.36860708233;35.683242797852;0;1737557214;0;0;860309;0;0;86.630890653989;3396.0153664574;2.1112759113312;0;1737557178;0;0;
ip-10-0-9-63;25338;25356;6.8436245918274;543698;16.990085601807;12.831015830614;35.683429718018;0;1737557214;0;0;860268;0;0;87.168418914101;3398.0171933594;0.6003839969635;0;1737557178;0;0;
ip-10-0-9-63;25338;25361;6.3044476509094;543631;16.980075836182;13.250827097298;35.683174133301;0;1737557214;0;0;860456;0;0;86.748688543355;3396.0153664574;0.36074098944664;0;1737557178;0;0;
ip-10-0-9-63;25338;25363;6.3328981399536;543556;16.705085754395;13.708402681355;35.683040618896;0;1737557214;0;0;860517;0;0;86.291012649692;3341.0171487569;1.9380750656128;0;1737557178;0;0;
ip-10-0-9-63;25338;25362;10.026587486267;543557;17.005102157593;13.995802791212;35.683071136475;0;1737557214;0;0;860486;0;0;86.003552942682;3401.0205481466;1.7156510353088;0;1737557178;0;0;
ip-10-0-9-63;25338;25364;8.9767446517944;544526;16.715091705322;12.802800880286;35.683979034424;0;1737557214;0;0;860548;0;0;87.196630212875;3343.018566036;0.7358649969101;0;1737557178;0;0;
ip-10-0-9-63;25338;25366;9.9290399551392;543631;16.715084075928;13.520722500316;35.683013916016;0;1737557214;0;0;860619;0;0;86.47870409342;3343.017132356;0.73468697071075;0;1737557178;0;0;
ip-10-0-9-63;25338;25365;11.244606018066;543553;16.735027313232;12.429021367785;35.682975769043;0;1737557214;0;0;860579;0;0;87.570778705064;3347.0058349256;1.0635110139847;0;1737557178;0;0;
ip-10-0-9-63;25338;25360;8.443398475647;543558;16.995122909546;12.680110655817;35.683132171631;0;1737557214;0;0;860424;0;0;87.319113737246;3399.0246607761;0.74702000617981;0;1737557178;0;0;
ip-10-0-9-63;25338;25369;5.8819432258606;543555;16.710018157959;12.926377834869;35.682846069336;0;1737557214;0;0;860708;0;0;87.073465412095;3342.0037254079;2.6472470760345;0;1737557178;0;0;
ip-10-0-9-63;25338;25367;4.6962876319885;543631;16.710063934326;13.225560552641;35.682983398438;0;1737557214;0;0;860648;0;0;86.774014769438;3342.0131467336;3.1659300327301;0;1737557178;0;0;
ip-10-0-9-63;25338;25370;6.8842926025391;543661;16.715084075928;13.640375060921;35.682922363281;0;1737557214;0;0;860740;0;0;86.359080250992;3343.017132356;0.76630401611328;0;1737557178;0;0;
